"id";"title";"region";"region_id";"district";"population";"founded";"created_at";"updated_at"
"1";"Адыгейск";"Республика Адыгея";"1";"Южный";"12248";"1973";"17/11/2022 16:52:07";"17/11/2022 16:52:07"
"2";"Майкоп";"Республика Адыгея";"1";"Южный";"144246";"1857";"17/11/2022 16:52:08";"17/11/2022 16:52:08"
"3";"Горно-Алтайск";"Республика Алтай";"4";"Сибирский";"56928";"1830";"17/11/2022 16:52:08";"17/11/2022 16:52:08"
"4";"Алейск";"Алтайский край";"22";"Сибирский";"29512";"1913";"17/11/2022 16:52:08";"17/11/2022 16:52:08"
"5";"Барнаул";"Алтайский край";"22";"Сибирский";"612091";"1730";"17/11/2022 16:52:08";"17/11/2022 16:52:08"
"6";"Белокуриха";"Алтайский край";"22";"Сибирский";"14660";"1803";"17/11/2022 16:52:08";"17/11/2022 16:52:08"
"7";"Бийск";"Алтайский край";"22";"Сибирский";"210055";"1709";"17/11/2022 16:52:09";"17/11/2022 16:52:09"
"8";"Горняк";"Алтайский край";"22";"Сибирский";"13924";"1942";"17/11/2022 16:52:09";"17/11/2022 16:52:09"
"9";"Заринск";"Алтайский край";"22";"Сибирский";"48456";"1979";"17/11/2022 16:52:09";"17/11/2022 16:52:09"
"10";"Змеиногорск";"Алтайский край";"22";"Сибирский";"10955";"1736";"17/11/2022 16:52:09";"17/11/2022 16:52:09"
"11";"Камень-на-Оби";"Алтайский край";"22";"Сибирский";"43880";"1751";"17/11/2022 16:52:10";"17/11/2022 16:52:10"
"12";"Новоалтайск";"Алтайский край";"22";"Сибирский";"70438";"1736";"17/11/2022 16:52:10";"17/11/2022 16:52:10"
"13";"Рубцовск";"Алтайский край";"22";"Сибирский";"147008";"1892";"17/11/2022 16:52:10";"17/11/2022 16:52:10"
"14";"Славгород";"Алтайский край";"22";"Сибирский";"32390";"1910";"17/11/2022 16:52:10";"17/11/2022 16:52:10"
"15";"Яровое";"Алтайский край";"22";"Сибирский";"18605";"1943";"17/11/2022 16:52:10";"17/11/2022 16:52:10"
"16";"Белогорск";"Амурская область";"28";"Дальневосточный";"68220";"1860";"17/11/2022 16:52:11";"17/11/2022 16:52:11"
"17";"Благовещенск";"Амурская область";"28";"Дальневосточный";"214397";"1856";"17/11/2022 16:52:11";"17/11/2022 16:52:11"
"18";"Завитинск";"Амурская область";"28";"Дальневосточный";"11481";"1906";"17/11/2022 16:52:11";"17/11/2022 16:52:11"
"19";"Зея";"Амурская область";"28";"Дальневосточный";"25042";"1879";"17/11/2022 16:52:11";"17/11/2022 16:52:11"
"20";"Райчихинск";"Амурская область";"28";"Дальневосточный";"20499";"1932";"17/11/2022 16:52:12";"17/11/2022 16:52:12"
"21";"Свободный";"Амурская область";"28";"Дальневосточный";"58594";"1912";"17/11/2022 16:52:12";"17/11/2022 16:52:12"
"22";"Сковородино";"Амурская область";"28";"Дальневосточный";"9561";"1908";"17/11/2022 16:52:12";"17/11/2022 16:52:12"
"23";"Тында";"Амурская область";"28";"Дальневосточный";"35574";"1907";"17/11/2022 16:52:12";"17/11/2022 16:52:12"
"24";"Шимановск";"Амурская область";"28";"Дальневосточный";"19815";"1910";"17/11/2022 16:52:12";"17/11/2022 16:52:12"
"25";"Архангельск";"Архангельская область";"29";"Северо-Западный";"348716";"1584";"17/11/2022 16:52:13";"17/11/2022 16:52:13"
"26";"Вельск";"Архангельская область";"29";"Северо-Западный";"23885";"1137";"17/11/2022 16:52:13";"17/11/2022 16:52:13"
"27";"Каргополь";"Архангельская область";"29";"Северо-Западный";"10148";"1146";"17/11/2022 16:52:13";"17/11/2022 16:52:13"
"28";"Коряжма";"Архангельская область";"29";"Северо-Западный";"39629";"1535";"17/11/2022 16:52:13";"17/11/2022 16:52:13"
"29";"Котлас";"Архангельская область";"29";"Северо-Западный";"60562";"1890";"17/11/2022 16:52:14";"17/11/2022 16:52:14"
"30";"Мезень";"Архангельская область";"29";"Северо-Западный";"3599";"16 век";"17/11/2022 16:52:14";"17/11/2022 16:52:14"
"31";"Мирный";"Архангельская область";"29";"Северо-Западный";"30259";"1957";"17/11/2022 16:52:14";"17/11/2022 16:52:14"
"32";"Новодвинск";"Архангельская область";"29";"Северо-Западный";"40612";"1936";"17/11/2022 16:52:14";"17/11/2022 16:52:14"
"33";"Няндома";"Архангельская область";"29";"Северо-Западный";"22354";"1898";"17/11/2022 16:52:14";"17/11/2022 16:52:14"
"34";"Онега";"Архангельская область";"29";"Северо-Западный";"21359";"1137";"17/11/2022 16:52:15";"17/11/2022 16:52:15"
"35";"Северодвинск";"Архангельская область";"29";"Северо-Западный";"192265";"1936";"17/11/2022 16:52:15";"17/11/2022 16:52:15"
"36";"Сольвычегодск";"Архангельская область";"29";"Северо-Западный";"2460";"14 век";"17/11/2022 16:52:15";"17/11/2022 16:52:15"
"37";"Шенкурск";"Архангельская область";"29";"Северо-Западный";"5702";"1137";"17/11/2022 16:52:15";"17/11/2022 16:52:15"
"38";"Астрахань";"Астраханская область";"30";"Южный";"520662";"1558";"17/11/2022 16:52:15";"17/11/2022 16:52:15"
"39";"Ахтубинск";"Астраханская область";"30";"Южный";"41898";"1959";"17/11/2022 16:52:16";"17/11/2022 16:52:16"
"40";"Знаменск";"Астраханская область";"30";"Южный";"29357";"1948";"17/11/2022 16:52:16";"17/11/2022 16:52:16"
"41";"Камызяк";"Астраханская область";"30";"Южный";"16291";"1560";"17/11/2022 16:52:16";"17/11/2022 16:52:16"
