"id";"title";"region_id";"created_at";"updated_at"
"1";"Республика Адыгея";"1";"14/11/2022 13:57:44";"14/11/2022 13:57:44"
"2";"Республика Башкортостан";"2";"14/11/2022 13:57:44";"14/11/2022 13:57:44"
"3";"Республика Бурятия";"3";"14/11/2022 13:57:44";"14/11/2022 13:57:44"
"4";"Республика Алтай";"4";"14/11/2022 13:57:44";"14/11/2022 13:57:44"
"5";"Республика Дагестан";"5";"14/11/2022 13:57:45";"14/11/2022 13:57:45"
"6";"Республика Ингушетия";"6";"14/11/2022 13:57:45";"14/11/2022 13:57:45"
"7";"Кабардино-Балкарская Республика";"7";"14/11/2022 13:57:45";"14/11/2022 13:57:45"
"8";"Республика Калмыкия";"8";"14/11/2022 13:57:45";"14/11/2022 13:57:45"
"9";"Карачаево-Черкесская Республика";"9";"14/11/2022 13:57:46";"14/11/2022 13:57:46"
"10";"Республика Карелия";"10";"14/11/2022 13:57:46";"14/11/2022 13:57:46"
"11";"Республика Коми";"11";"14/11/2022 13:57:46";"14/11/2022 13:57:46"
"12";"Республика Марий Эл";"12";"14/11/2022 13:57:46";"14/11/2022 13:57:46"
"13";"Республика Мордовия";"13";"14/11/2022 13:57:46";"14/11/2022 13:57:46"
"14";"Республика Саха (Якутия)";"14";"14/11/2022 13:57:47";"14/11/2022 13:57:47"
"15";"Республика Северная Осетия — Алания";"15";"14/11/2022 13:57:47";"14/11/2022 13:57:47"
"16";"Республика Татарстан";"16";"14/11/2022 13:57:47";"14/11/2022 13:57:47"
"17";"Республика Тыва";"17";"14/11/2022 13:57:47";"14/11/2022 13:57:47"
"18";"Удмуртская Республика";"18";"14/11/2022 13:57:47";"14/11/2022 13:57:47"
"19";"Республика Хакасия";"19";"14/11/2022 13:57:48";"14/11/2022 13:57:48"
"20";"Чеченская Республика";"20";"14/11/2022 13:57:48";"14/11/2022 13:57:48"
"21";"Чувашская Республика";"21";"14/11/2022 13:57:48";"14/11/2022 13:57:48"
"22";"Алтайский край";"22";"14/11/2022 13:57:48";"14/11/2022 13:57:48"
"23";"Краснодарский край";"23";"14/11/2022 13:57:48";"14/11/2022 13:57:48"
"24";"Красноярский край";"24";"14/11/2022 13:57:49";"14/11/2022 13:57:49"
"25";"Приморский край";"25";"14/11/2022 13:57:49";"14/11/2022 13:57:49"
